,Unnamed: 0,datetime,id,tweet,sentiment
79,79,2021-04-18 21:00:43,1383888245902118918,flcnhvy,neutral
80,80,2021-04-18 20:41:18,1383883358057373698,rt spacex spacex nasa completed full rehearsal launch day activities four crew astronauts httpstcouhdctxzp,positive
81,81,2021-04-17 22:45:36,1383552252871200770,wholemarsblog passive autopilot sometimes called active safety comes standard teslas,negative
82,82,2021-04-17 22:39:39,1383550753956982787,wholemarsblog essentially passive autopilot car intervenes crash probability high cuts crashes in httpstcopyqndnat,positive
83,83,2021-04-17 22:32:03,1383548841438236674,tesla autopilot engaged approaching  times lower chance accident average vehicle httpstcolgywvhc,negative
84,84,2021-04-17 05:46:56,1383295895043600384,dragon spacecraft amp falcon  rocket httpstcoafsnlsnz,neutral
85,85,2021-04-17 04:51:09,1383281856984936450,whatsupfranks great progress tesla team,positive
86,86,2021-04-17 04:46:34,1383280704042127363,make life multiplanetary may come day plants amp animals die earth still alive mars,positive
87,87,2021-04-17 04:16:45,1383273199211667457,neuralink shivon great review neuralink open working neuroscientists advance field shortte httpstcoohmkmhnco,positive
88,88,2021-04-17 01:37:48,1383233200885882885,everything moon,neutral
89,89,2021-04-16 22:16:48,1383182615411232770,honored part nasaartemis team,neutral
90,90,2021-04-16 21:55:05,1383177151541743621,nasa rules  httpstcohmegxpez,neutral
91,91,2021-04-16 17:01:25,1383103246470811652,,neutral
92,92,2021-04-16 08:25:23,1382973382375874561,rt tesla cybertruck giga texas httpstcocruektpnn,neutral
93,93,2021-04-16 02:13:57,1382879908645392384,austin rocks,neutral
94,94,2021-04-16 02:00:14,1382876456401833989,modelowners berlin,neutral
95,95,2021-04-16 01:59:34,1382876290663927808,modelowners limited production model year high volume next year,positive
96,96,2021-04-16 01:52:42,1382874560433778695,modelowners there driving cybertruck around site built,neutral
97,97,2021-04-16 00:50:37,1382858937792307202,make life multiplanetary mars,neutral
98,98,2021-04-15 23:44:25,1382842277719003136,erdayastronaut thesheetztweetz yeah fully mobile later year move anywhere use i httpstcokcmxyqhaan,neutral
99,99,2021-04-15 23:33:34,1382839546484641794,thesheetztweetz accurate service uptime bandwidth amp latency improving rapidly probably beta summer,positive
